Date,pro
12月8日,0.40383
12月9日,0.39929
12月10日,0.40384
12月11日,0.40574
12月12日,0.40317
12月13日,0.40382
12月14日,0.40544
12月15日,0.40304
12月16日,0.40473
12月17日,0.40503
12月18日,0.40837
12月19日,0.40934
12月20日,0.40935
12月21日,0.40921
12月22日,0.41141
12月23日,0.41111
12月24日,0.41498
12月25日,0.41441
12月26日,0.41753
12月27日,0.41639
12月28日,0.42165
12月29日,0.4267
12月30日,0.42819
12月31日,0.43175
1月1日,0.43167
1月2日,0.43921
1月3日,0.44343
1月4日,0.45471
1月5日,0.45928
1月6日,0.46446
1月7日,0.4719
1月8日,0.47895
1月9日,0.4933
1月10日,0.50449
1月11日,0.50672
1月12日,0.51154
1月13日,0.51179
1月14日,0.51785
1月15日,0.52413
1月16日,0.52959
1月17日,0.53777
1月18日,0.54201
1月19日,0.55263
1月20日,0.56461
1月21日,0.57574
1月22日,0.59035
1月23日,0.60335
1月24日,0.60764
1月25日,0.61528
1月26日,0.62204
1月27日,0.62397
1月28日,0.63628
1月29日,0.6424
1月30日,0.65516
1月31日,0.66641
2月1日,0.68648
2月2日,0.70119
2月3日,0.70452
2月4日,0.70593
2月5日,0.70806
2月6日,0.70825
2月7日,0.71263
2月8日,0.71396
2月9日,0.71947
2月10日,0.7249
2月11日,0.72854
2月12日,0.73646
2月13日,0.74792
2月14日,0.76044
2月15日,0.77854
2月16日,0.79889
2月17日,0.82233
2月18日,0.82401
2月19日,0.82273
2月20日,0.82278
2月21日,0.82332
2月22日,0.82346
2月23日,0.82417
2月24日,0.82429
2月25日,0.82324
2月26日,0.82346
2月27日,0.82286
2月28日,0.82398
2月29日,0.82593
3月1日,0.82344
3月2日,0.82599
3月3日,0.82379
3月4日,0.82295
3月5日,0.82395
3月6日,0.82484
3月7日,0.8258
3月8日,0.82218
